ASV inference stats: Number of 16S rRNA amplicon read pairs and filtering overview						
						
Sample ID	input read pairs	read pairs kept after filtering	Forward reads denoised	Reverse reads denoised	Merged reads	Non-chimeric ASVs
SKAU_R3_35	190384	160343	159283	159342	152901	104543
SKAU_R3_36	258045	218357	217361	217079	203986	127984
SKAU_R3_37	288407	240328	239066	238728	229638	151965
SKAU_R3_39	354446	296678	294913	295222	283993	197850
SKAU_R3_40	277515	229879	229248	228986	222207	166943
SKAU_R3_41	313844	262977	260091	260418	238384	156503
SKAU_R3_43	393555	329687	327730	328088	315853	198920
SKAU_R3_44	263765	217509	216048	216149	205230	148683
SKAU_R3_47	236132	190451	188907	188421	177861	93969
SKAU_R3_48	323539	234551	233526	233233	213178	151582
SKAU_R3_50	184263	159657	158634	158468	152123	104822
SKAU_R3_51	207890	174562	172822	172964	164249	102942
SKAU_R3_52	159456	132477	131655	131606	126700	81447
SKAU_R3_54	267176	222879	221337	220851	211859	123474
SKAU_R3_55	146152	121742	119921	120065	113491	79172
SKAU_R3_56	324182	267372	265617	265787	255040	164200
SKAU_R3_58	212736	177087	176302	176411	171850	115294
SKAU_R3_59	220128	174594	173031	173357	165933	82350
SDOG_R1_1	229323	192106	191645	191708	189873	156924
SDOG_R1_2	187190	156772	155663	155950	149270	118601
SDOG_R1_3	133071	106008	105037	105296	99770	73204
SDOG_R1_4	127039	101665	100516	100794	94850	75428
SDOG_R1_6	124386	105548	104747	104885	100584	77970
SDOG_R1_7	138247	118668	116509	116874	107622	73776
SDOG_R1_8	121436	95612	95223	95080	93070	79082
SDOG_R1_9	94102	78112	77144	77316	73669	51466
SDOG_R1_10	118244	96796	95741	95953	92164	72885
SDOG_R1_13	251993	212491	211308	211176	202404	147028
SDOG_R1_14	155911	130631	129354	129648	123382	89353
SDOG_R1_15	153143	127473	126674	126736	121672	87518
SDOG_R1_16	197894	163917	162442	162444	154887	110135
SDOG_R1_17	183793	148907	148211	148307	143854	113882
SDOG_R1_18	118611	98607	97882	98015	94866	77028
SDOG_R1_19	105257	84846	83362	83559	78401	64155
SDOG_R1_20	107698	91067	88152	88911	77509	54088
SDOG_R1_21	115811	94026	93361	93435	91041	72793
SDOG_R1_22	118384	98197	96489	96525	88351	59902
SDOG_R1_24	131387	109086	107687	107797	101783	73152
SDOG_R1_25	108230	88874	87023	87363	79896	59747
SDOG_R1_26	114405	94908	93991	94088	89030	66516
SDOG_R1_28	108938	94188	92730	92733	87039	69108
SDOG_R1_29	101889	84659	83685	83626	78949	51292
